baobeirequesttime,method,responseStatus,time,userId,accessTerminal
30/Dec/2019:20:02:24,/redpacket/unaccalimedRedpackt.htm,200,295,144387,1
30/Dec/2019:20:02:24,/redpacket/checkRedpacket.htm,200,434,144387,1
30/Dec/2019:20:02:21,/limit/time/snatch/goods/list.htm,200,653,,1
30/Dec/2019:20:02:20,/goods/category/tab/list.htm,200,809,,1
30/Dec/2019:20:02:20,/goods/category/goods/list.htm,200,1508,144388,1
30/Dec/2019:20:02:20,/user/getHomeBottonImg.htm,200,1738,,1
30/Dec/2019:20:02:17,/goods/member/discount/goods/list.htm,200,427,144388,1
30/Dec/2019:20:02:17,/redpacket/userAccount.htm,200,224,144388,1
30/Dec/2019:20:02:17,/user/wxBangPhone.htm,200,965,144388,1
30/Dec/2019:20:02:17,/user/wxBangPhone.htm,200,965,144388,2
30/Dec/2019:20:02:17,/user/wxBangPhone.htm,200,965,144388,2
30/Dec/2019:20:02:17,/redpacket/userAccount.htm,200,397,144388,1
30/Dec/2019:20:02:17,/redpacket/userAccount.htm,200,397,144388,2
30/Dec/2019:20:02:17,/redpacket/userAccount.htm,200,397,144388,2
30/Dec/2019:20:02:17,/redpacket/userAccount.htm,200,397,144388,2
30/Dec/2019:20:02:17,/redpacket/unaccalimedRedpackt.htm,200,430,144388,1
30/Dec/2019:20:02:17,/rest,200,279,144388,1
30/Dec/2019:20:02:17,/redpacket/unaccalimedRedpackt.htm,200,247,144388,1
30/Dec/2019:20:02:18,/goods/category/tab/list.htm,200,429,144388,1
30/Dec/2019:20:02:18,/goods/category/tab/list.htm,200,429,144388,2
30/Dec/2019:20:02:18,/ads/get.htm,200,722,144388,1
30/Dec/2019:20:02:17,/rest,200,464,144388,1
30/Dec/2019:20:02:18,/rest,200,281,144388,1
30/Dec/2019:20:02:18,/rest,200,281,144388,2
30/Dec/2019:20:02:18,/rest,200,281,144388,2
30/Dec/2019:20:02:17,/redpacket/checkRedpacket.htm,200,215,144388,1
30/Dec/2019:20:02:18,/redpacket/checkRedpacket.htm,200,583,144388,1
30/Dec/2019:20:02:18,/redpacket/checkRedpacket.htm,200,583,144388,2
30/Dec/2019:20:02:18,/redpacket/checkRedpacket.htm,200,583,144388,2
30/Dec/2019:20:02:18,/redpacket/checkRedpacket.htm,200,583,144388,2
30/Dec/2019:20:02:18,/redpacket/checkRedpacket.htm,200,583,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,1
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:17,/user/getHomeBottonImg.htm,200,428,144388,2
30/Dec/2019:20:02:14,/ads/get.htm,200,319,126298,1
30/Dec/2019:20:02:14,/ads/get.htm,200,319,126298,2
30/Dec/2019:20:02:14,/ads/get.htm,200,319,126298,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,1
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/user/getHomeBottonImg.htm,200,279,,2
30/Dec/2019:20:02:14,/redpacket/checkRedpacket.htm,200,169,126298,1
30/Dec/2019:20:02:14,/redpacket/checkRedpacket.htm,200,169,126298,2
30/Dec/2019:20:02:14,/redpacket/checkRedpacket.htm,200,169,126298,2
30/Dec/2019:20:02:14,/redpacket/checkRedpacket.htm,200,169,126298,2
30/Dec/2019:20:02:13,/limit/time/snatch/goods/list.htm,200,994,,1
30/Dec/2019:20:02:13,/limit/time/snatch/goods/list.htm,200,994,,2
30/Dec/2019:20:02:13,/redpacket/unaccalimedRedpackt.htm,200,247,126298,1
30/Dec/2019:20:02:13,/redpacket/userAccount.htm,200,210,126298,1
30/Dec/2019:20:02:13,/redpacket/userAccount.htm,200,494,,1
30/Dec/2019:20:02:13,/redpacket/checkRedpacket.htm,200,303,126298,1
30/Dec/2019:20:02:13,/ads/get.htm,200,1075,,1
30/Dec/2019:20:02:12,/rest,200,452,,1
30/Dec/2019:20:02:12,/rest,200,452,,2
30/Dec/2019:20:02:13,/user/getHomeBottonImg.htm,200,191,126298,1
30/Dec/2019:20:02:13,/user/wxAuth.htm,200,763,,1
30/Dec/2019:20:02:12,/rest,200,415,,1
30/Dec/2019:20:02:12,/goods/act/tab/goods/list.htm,200,413,,1
30/Dec/2019:20:02:12,/goods/category/tab/list.htm,200,360,,1
30/Dec/2019:20:02:12,/rest,200,200,,1
30/Dec/2019:20:02:12,/goods/member/discount/goods/list.htm,200,367,,1
30/Dec/2019:20:02:12,/goods/category/goods/list.htm,200,1408,,1
30/Dec/2019:20:02:12,/goods/category/goods/list.htm,200,1408,,2
30/Dec/2019:20:02:12,/user/getHomeBottonImg.htm,200,707,,1
30/Dec/2019:20:02:12,/goods/act/tab/goods/list.htm,200,446,,1
30/Dec/2019:20:02:11,/goods/detail.htm,200,449,144382,1
30/Dec/2019:20:02:11,/goods/detail.htm,200,449,144382,2
30/Dec/2019:20:02:11,/inviter/getInviterId.htm,200,459,144382,1
30/Dec/2019:20:02:11,/goods/recommend/list.htm,200,391,144382,1
30/Dec/2019:20:02:11,/redpacket/userAccount.htm,200,419,144382,1
30/Dec/2019:20:02:11,/goods/category/goods/list.htm,200,1471,144388,1
30/Dec/2019:20:02:09,/redpacket/userAccount.htm,200,238,144387,1
30/Dec/2019:20:02:09,/redpacket/checkRedpacket.htm,200,327,144387,1
30/Dec/2019:20:02:09,/redpacket/unaccalimedRedpackt.htm,200,363,144387,1
30/Dec/2019:20:02:09,/user/getHomeBottonImg.htm,200,299,144387,1
30/Dec/2019:20:02:09,/redpacket/checkRedpacket.htm,200,288,144387,1
30/Dec/2019:20:02:09,/rest,200,269,144388,1
30/Dec/2019:20:02:08,/goods/category/goods/list.htm,200,1959,144384,1
30/Dec/2019:20:02:08,/goods/category/goods/list.htm,200,1959,144384,2
30/Dec/2019:20:02:06,/inviter/getInviterId.htm,200,541,144384,1
30/Dec/2019:20:02:08,/limit/time/snatch/goods/list.htm,200,487,144384,1
30/Dec/2019:20:02:06,/goods/category/tab/list.htm,200,494,144384,1
30/Dec/2019:20:02:06,/user/getHomeBottonImg.htm,200,661,144384,1
30/Dec/2019:20:02:06,/goods/act/tab/goods/list.htm,200,696,144384,1
30/Dec/2019:20:02:06,/redpacket/userAccount.htm,200,601,144384,1
30/Dec/2019:20:02:08,/rest,200,568,144384,1
30/Dec/2019:20:02:08,/ads/get.htm,200,460,144384,1
30/Dec/2019:20:02:07,/redpacket/unaccalimedRedpackt.htm,200,703,144384,1
30/Dec/2019:20:02:07,/rest,200,709,144384,1
30/Dec/2019:20:02:06,/goods/act/tab/goods/list.htm,200,624,144384,1
30/Dec/2019:20:02:07,/redpacket/checkRedpacket.htm,200,559,144384,1
30/Dec/2019:20:02:06,/goods/member/discount/goods/list.htm,200,630,144384,1
30/Dec/2019:20:02:06,/redpacket/checkRedpacket.htm,200,635,144384,1
30/Dec/2019:20:02:06,/rest,200,597,144384,1
30/Dec/2019:20:02:09,/redpacket/checkRedpacket.htm,200,328,144388,1
30/Dec/2019:20:02:08,/goods/member/discount/goods/list.htm,200,669,144388,1
30/Dec/2019:20:02:08,/redpacket/checkRedpacket.htm,200,409,144388,1
30/Dec/2019:20:02:08,/redpacket/unaccalimedRedpackt.htm,200,394,144388,1
30/Dec/2019:20:02:08,/redpacket/userAccount.htm,200,436,,1
30/Dec/2019:20:02:08,/goods/category/tab/list.htm,200,659,144388,1
30/Dec/2019:20:02:08,/redpacket/userAccount.htm,200,410,144388,1
30/Dec/2019:20:02:08,/redpacket/unaccalimedRedpackt.htm,200,430,144388,1
30/Dec/2019:20:02:08,/limit/time/snatch/goods/list.htm,200,621,144388,1
30/Dec/2019:20:02:08,/user/getHomeBottonImg.htm,200,406,144388,1
30/Dec/2019:20:02:08,/ads/get.htm,200,612,144388,1
30/Dec/2019:20:02:08,/redpacket/userAccount.htm,200,434,144388,1
30/Dec/2019:20:02:08,/rest,200,448,144388,1
30/Dec/2019:20:02:08,/rest,200,462,144388,1
30/Dec/2019:20:02:08,/rest,200,462,144388,2
30/Dec/2019:20:02:08,/rest,200,462,144388,2
30/Dec/2019:20:02:08,/rest,200,462,144388,2
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,1
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:08,/user/wxBangPhone.htm,200,793,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,1
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:01,/user/wxAuth.htm,200,1236,,2
30/Dec/2019:20:02:00,/rest,200,2691,,1
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,1
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:02:00,/goods/category/goods/list.htm,200,2011,,2
30/Dec/2019:20:01:59,/rest,200,451,114863,1
30/Dec/2019:20:01:59,/rest,200,333,114863,1
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
30/Dec/2019:20:01:59,/rest,200,333,114863,2
