2018-10-10 19:10:58 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181010 where adzone_id=2666,查找出来的数量是:1112832,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (1112832, '1','2018-10-10 19:10:58'),插入影响数据:1
2018-10-10 19:11:05 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181010 where adzone_id=2666,查找出来的数量是:1112980,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (1112980, '1','2018-10-10 19:11:05'),插入影响数据:1
2018-10-12 10:20:24 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:275,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (275, '1','2018-10-12 10:20:24'),插入影响数据:1
2018-10-12 10:20:35 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:275,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (275, '1','2018-10-12 10:20:34'),插入影响数据:1
2018-10-12 10:20:45 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:275,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (275, '1','2018-10-12 10:20:45'),插入影响数据:1
2018-10-12 10:20:58 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:276,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (276, '1','2018-10-12 10:20:58'),插入影响数据:1
2018-10-12 10:21:09 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:276,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (276, '1','2018-10-12 10:21:08'),插入影响数据:1
2018-10-12 10:21:19 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:21:19'),插入影响数据:1
2018-10-12 10:21:29 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:21:29'),插入影响数据:1
2018-10-12 10:21:39 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:21:39'),插入影响数据:1
2018-10-12 10:21:50 查找sqlSELECT COUNT(1) from voyagerlog.adzone_click_log20181012 where adzone_id=2666,查找出来的数量是:277,插入sql:INSERT INTO `test`.`job_log` ( `data`, `type`, `createtime`) VALUES (277, '1','2018-10-12 10:21:49'),插入影响数据:1
